"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP04.YOY_PCH_PA_PT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change","Monthly","Units","10.05917159763314","5.466540999057493","4.659832246039143","2.289377289377289","2.010968921389397","1.639344262295082","1.454545454545455","0.9945750452079566","0.993676603432701","0.8108108108108108","0.6311992786293959","0.7207207207207207","0.6272401433691756","0.3574620196604111","-0.2671415850400712","0.2685765443151298","0.2688172043010753","0.2688172043010753","0.2688172043010753","0.2685765443151298","0.1788908765652952","0.1787310098302055","0.3584229390681004","0.2683363148479428","0.1780943900267142","0.3561887800534283","0.8035714285714286","1.071428571428571","14.03038427167113","15.9964253798034","20.64343163538874","22.5","24.46428571428571","27.02943800178412","32.76785714285714","34.34433541480821","34.57777777777778","36.46850044365572","37.73250664304694","188.0742049469965","158.6206896551724","157.2419106317411","147.8518518518519","144.3877551020408","146.2697274031564","107.7949438202247","105.581708137189","102.9880478087649","103.3025099075297","100.7802340702211","104.3086816720257","17.01931922723091","13.3030303030303","12.0994309673555","13.77764494919307","14.31553832388905","15.78794057675502","44.40689422102062","47.20314033366045","47.20314033366045","46.62118258609487","46.43782383419689","49.48064211520302","25.05241090146751","28.64402246589997","29.17445899011488","27.76464407670081","27.26324028176363","23.22012578616352","15.18839223028317","10.26666666666667","10.57777777777778","10.70241524484822","10.92436974789916","5.938092229943146","5.637049455155071","4.906444906444906","4.69493278179938","4.584703947368421","4.797047970479705","4.593711719069008","4.693214140593255","10.1975010076582","10.65112540192926","13.07045636509207","13.17783094098884","13.17829457364341","13.19182701844872","12.28695996829172","10.35163966811537","7.293100058973855","5.809859154929577","5.36794846769471","4.327576169221813","1.079005120702268","-1.925172539048311","-2.779252965126571","-5.196406552756738","-8.131366350544433","-11.25131440588854","-13.13095658312743","-12.24489795918367","-9.105899596921949","-3.050471436494731","0.6483882919599852","5.505952380952381","10.81961280984259","13.55555555555556","18.33576110706482","18.58045336306206","22.00344102466068","26.54028436018957","35.27021535960991","36.37290901672787","35.55734730901028","29.0045766590389","25.14264678814651","18.79407616361072","10.00816326530612","9.768427919112851","4.292968148945992","6.424318395487308","6.957066750235036","7.147315855181024","3.544607990387504","3.739715781600598","3.643122676579926","3.858093126385809","4.265333137226063","5.520926090828139","5.728702879192639","5.957510028227604","5.326054883446444","5.212014134275618","4.585408731321418","3.976114185843286","3.553814911517261","15.18385003604903","14.72022955523673","14.14745231995445","13.24587388912399","13.13642756680731","13.02638966872544","12.78743690409422","12.78890600924499","12.6784214945424","12.78890600924499","12.90096652192184","13.01302703459868","18.5778668002003","18.58429214607304","18.46633416458853","18.69706028898854","18.58528095474888","18.70342771982116","18.93336648433615","19.06358668653751","19.29955290611028","20.25583705911575","20.13647642679901","20.12890431333664","2.428209459459459","2.425648597342333","2.420797810756762","2.329730296988141","2.421637488206311","2.322661644695543","2.330929235915125","2.21132783978304","2.321465750572559","1.704017349994836","1.910564907569968"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP04.WGT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Weight","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0749785024639309","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0613931983139201","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0487447194643974","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0542120605382486","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0779771367701424","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0844240539268391","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.0867080542324239","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.100080031817527","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0980072234448588","0.0884900707997833","0.0884900707997833","0.0884900707997833","0.0884900707997833"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP07.IX.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Transport","Index","Monthly","Units","121.1","121.2","122.9","125.6","126.1","125.4","125","125","125.5","125.7","125.9","125.9","125.5","125.6","126.3","126.5","126.5","127.1","127.5","127.9","128","128.3","128","127.5","128","130.6","138","152","157.4","160.4","161.6","167.9","173.4","172.2","175.6","180.5","182.7","212.7","228.4","218.6","219","221.4","221.9","221.2","217.7","216.4","217.7","217.4","216.6","216.6","218.7","224","230.3","233","234","234.4","236.1","238","240.6","242.3","248.8","253.8","255.6","259.1","260.4","259.9","259.9","262","265.9","272.3","277.7","282.7","291.2","295.6","293.5","294.4","296.2","297.9","300","304.5","313.1","322.8","324.4","319.2","313.8","313.4","315","318.2","322.9","323.9","320.3","318.4","317.1","314.9","314","311.5","309.3","309.6","311.8","307.7","301.6","305.2","308.8","312.5","314.1","314.7","317.6","319.8","323","328.2","334.1","336.1","338.4","341.8","345.6","348.3","348","351.8","356","355.3","359.9","373.3","388.9","397.1","437.6","486.6","485.2","489","491","494.9","499.9","507.9","507.4","498.7","494.3","490.8","485.4","481.5","494.5","509.3","520.6","528.4","533.1","524.1","516.2","515.2","523.9","534.9","539.7","544.1","547.9","551.1","555.6","558.3","558.3","561.1","569","572.4","573.5","571.8","571.2","577.5","586.8","586.8","587.9","588.5","591.5","595.6","602.8","611.2","650.3","680.9"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP04.IX.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Index","Monthly","Units","111.6","111.9","112.3","111.7","111.6","111.6","111.6","111.7","111.8","111.9","111.6","111.8","112.3","112.3","112","112","111.9","111.9","111.9","112","112","112.1","112","112.1","112.5","112.7","112.9","113.2","127.6","129.8","135","137.2","139.4","142.4","148.7","150.6","151.4","153.8","155.5","326.1","330","333.9","334.6","335.3","343.3","295.9","305.7","305.7","307.8","308.8","317.7","381.6","373.9","374.3","380.7","383.3","397.5","427.3","450","450","451.3","452.2","474.9","477.2","481","483.5","486.4","487.8","489.8","492.2","496.2","497.6","499.6","501.6","503.1","504.1","504.6","506.2","508.7","511.2","512.3","515.3","546.8","550.6","564.9","567.7","569.4","570.6","566.6","558.6","545.8","540.9","539.8","537.6","552.7","540","549.2","538.2","523.1","506.4","492.2","490.2","496.1","524.4","543.3","567.2","612.5","613.2","649.9","638.2","638.2","640.8","665.8","668.5","672.5","676.5","679.9","673.8","673.8","673.1","677.8","679.2","682.6","686.6","689.4","693.5","697","702.6","708.9","711","712.4","713.2","713.9","714.6","713.9","713.9","713.9","798.8","799.6","802","802.8","804.4","805.2","804.4","805.2","805.2","805.2","806","806.8","947.2","948.2","950.1","952.9","953.9","955.8","956.7","958.7","960.6","968.3","968.3","969.2","970.2","971.2","973.1","975.1","977","978","979","979.9","982.9","984.8","986.8"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP01.YOY_PCH_PA_PT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Food and non-alcoholic beverages","Period average, Year-over-year (YOY) percent change","Monthly","Units","0.5923000987166831","0.5905511811023622","-0.9671179883945841","-2.666666666666667","-4.158790170132325","-4.995287464655985","-2.998065764023211","-2.252693437806072","-2.06286836935167","-1.970443349753695","-2.167487684729064","-2.261553588987217","-2.158979391560353","-2.64187866927593","-3.125","-3.033268101761252","-2.268244575936884","-1.785714285714286","-1.595214356929212","-2.605210420841683","-2.607823470411234","-1.809045226130653","-1.409869083585096","-0.7042253521126761","-0.6018054162487462","0.8040201005025126","3.528225806451613","7.971745711402624","11.90716448032291","12.72727272727273","12.25937183383992","13.88888888888889","17.30175077239959","19.65199590583419","20.93973442288049","24.82269503546099","30.1715438950555","35.89232303090728","53.45666991236611","53.73831775700935","52.93056807935077","51.97132616487455","50","47.60614272809395","45.12730465320457","43.02822925577417","44.67905405405405","41.47727272727273","38.06201550387597","29.71386647101981","11.42131979695431","6.869300911854103","3.832547169811321","3.242924528301887","4.392298435619735","5.140758873929009","4.234724742891712","4.904306220095694","3.385872737886748","3.270223752151463","2.975856260527793","5.260180995475113","7.175398633257403","8.304891922639363","10.61896649630892","14.96287835522559","16.36887608069164","16.82188591385332","18.80441091120139","17.95895096921323","17.89949181253529","17.72222222222222","17.8298800436205","17.30252552391188","17.26886291179596","17.17436974789916","13.75770020533881","9.538002980625931","7.132243684992571","7.125062282012955","6.692721055202736","7.056549057515708","7.471264367816092","7.78669183577159","7.913003239241092","7.787448465414567","7.023108291798822","7.350963693411026","9.160649819494585","8.526077097505669","9.847434119278779","10.18604651162791","8.791208791208791","8.216704288939052","6.639928698752228","4.772329246935201","3.130360205831904","1.784955376115597","1.820491109229467","2.505219206680585","2.687060768912774","4.220643543669035","3.493265993265993","2.279442802870409","1.346801346801347","1.585314977054652","3.175929795236105","4.931048892603427","5.862785862785863","8.517745302713987","10.35343035343035","9.409368635437882","9.943639291465378","9.42261427425822","10.85807238714925","11.72100701609575","13.66279069767442","13.63449691991786","13.28473066018631","12.74392672242135","13.94344069128044","14.31319738360908","18.87716654107008","22.41250930752048","23.61772244599048","27.70245511176255","28.83345561261922","30.66124861470262","31.67701863354037","35.74268160462595","35.073292813729","34.40480395619922","32.98862461220269","31.80747223157186","26.84627575277338","22.20194647201946","20.08293838862559","16.44189383070301","13.35421412300683","8.396946564885496","5.826859045504994","2.582534611288605","2.77924827951297","3.994743758212878","3.706583722135822","2.579162410623085","0.1749125437281359","-0.5226480836236934","-0.5180069067587568","-0.1232134056185313","1.205727204220045","6.025039123630673","8.495018353434714","10.82273553075526","14.26731908318311","14.15213545615365","14.2464383904024","15.16056758775205","17.33599401346969","19.81486114585939","22.06793949913216","23.1680236861584","22.53660958054108","20.4920049200492","17.42387626872885","15.59718969555035","12.14784764480505","10.16161168917423","9.735287683220302","9.943795936013835","9.523809523809524","9.626226769680518"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP01.IX.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Monthly","Units","101.9","102.2","102.4","102.2","101.4","100.8","100.3","99.8","99.7","99.5","99.3","99.4","99.7","99.5","99.2","99.1","99.1","99","98.7","97.2","97.1","97.7","97.9","98.7","99.1","100.3","102.7","107","110.9","111.6","110.8","110.7","113.9","116.9","118.4","123.2","129","136.3","157.6","164.5","169.6","169.6","166.2","163.4","165.3","167.2","171.3","174.3","178.1","176.8","175.6","175.8","176.1","175.1","173.5","171.8","172.3","175.4","177.1","180","183.4","186.1","188.2","190.4","194.8","201.3","201.9","200.7","204.7","206.9","208.8","211.9","216.1","218.3","220.7","223.1","221.6","220.5","216.3","215","218.4","221.5","224.4","228.4","233.2","235.3","236.2","239.5","241.9","239.3","237.6","236.9","237.6","239.7","239.3","239.3","240.5","239.5","240.5","245.5","248.4","249.4","245.9","242.3","240.8","243.5","246.9","251.1","254.6","259.9","265.4","268.6","273.1","272.9","272.6","270.7","273.7","276.7","279.7","283.1","290.1","297.1","315.5","328.8","337.6","348.5","351.2","353.7","360.4","375.6","377.8","380.5","385.8","391.6","400.2","401.8","405.4","405.8","398.1","383.4","381.4","385.3","388.3","395.7","400.1","401.7","400.9","399.7","403.3","405.3","402.9","406.5","413.8","427","443.7","451.7","457.1","462.6","470.4","478.9","492.3","499.2","493.7","489.8","485.9","493.6","497.6","497.6","501.6","508.6","515.2","525"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP01.WGT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Food and non-alcoholic beverages","Weight","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.418010168084853","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.425676707904123","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.453956779673941","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.447379424062187","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.433277276636372","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.435551857324664","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.434077605864377","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.419968182472544","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.399764208120339","0.416947854281585","0.416947854281585","0.416947854281585","0.416947854281585"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP07.WGT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Transport","Weight","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.121192529844573","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.118251627466141","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.113932683655884","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.112174881730562","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.105679439825468","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.0925072761813455","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.097629010626289","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.100367951161071","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0962802740860949","0.0852667476940298","0.0852667476940298","0.0852667476940298","0.0852667476940298"
"IMF.STA:CPI(5.0.0)","UKR.CPI.CP07.YOY_PCH_PA_PT.M","OBS_VALUE","Ukraine","Consumer price index (CPI)","Transport","Period average, Year-over-year (YOY) percent change","Monthly","Units","18.26171875","15.53860819828408","12.23744292237443","11.05216622458002","8.894645941278066","6.723404255319149","5.574324324324324","5.130361648444071","5.02092050209205","4.66278101582015","4.39469320066335","4.13564929693962","3.633360858794385","3.63036303630363","2.766476810414972","0.7165605095541401","0.317208564631245","1.355661881977671","2","2.32","1.99203187250996","2.068416865552904","1.667990468625894","1.270849880857824","1.99203187250996","3.980891719745223","9.263657957244656","20.15810276679842","24.42687747035573","26.19984264358773","26.74509803921569","31.27443315089914","35.46875","34.21667965705378","37.1875","41.56862745098039","42.734375","62.86370597243492","65.50724637681159","43.81578947368421","39.13595933926302","38.02992518703242","37.31435643564356","31.74508636092912","25.54786620530565","25.6678281068525","23.9749430523918","20.44321329639889","18.55500821018062","1.833568406205924","-4.246935201401051","2.470265324794145","5.159817351598174","5.239385727190605","5.452906714736368","5.96745027124774","8.451998162609095","9.981515711645102","10.51906293063849","11.45354185832567","14.86611265004617","17.17451523545706","16.87242798353909","15.66964285714286","13.06990881458967","11.5450643776824","11.06837606837607","11.77474402730375","12.62177043625582","14.41176470588235","15.41978387364921","16.67354519191085","17.04180064308682","16.46966115051221","14.82785602503912","13.62408336549595","13.74807987711214","14.62100808003078","15.42901115813775","16.22137404580153","17.75103422339225","18.54572163055454","16.81670867842996","12.91121330031836","7.760989010989011","6.021650879566982","7.325383304940375","8.084239130434783","9.014179608372721","8.727760993622021","6.766666666666667","4.564860426929392","1.277547109549665","-2.447335811648079","-3.205918618988903","-2.412280701754386","-1.434034416826004","-1.212507977026165","-1.015873015873016","-3.299811439346323","-6.596469495199752","-5.773386847792529","-3.590384014985951","-1.853015075376884","-0.946073793755913","-0.06351222610352493","1.146496815286624","2.664526484751204","4.429356611703847","6.007751937984496","7.152020525978191","9.229769255768606","12.20159151193634","11.99213630406291","11.91709844559585","11.456","10.792741165234","11.78900540197013","12.09068010075567","11.10068792995622","11.42414860681115","13.74162096282754","16.40227476803352","18.14936030943172","29.31442080378251","42.36395552954944","40.39351851851852","40.39621016365202","41.09195402298851","40.67652075042638","40.42134831460674","42.94962003940332","40.98360655737705","33.5922850254487","27.10208279763435","23.59607151850919","10.92321755027422","-1.048088779284834","1.916735366859027","4.151329243353783","6.028513238289206","6.769044251363912","6.641328265653131","3.18960425280567","1.73433188805676","3.308602366151995","5.988266235079911","8.985330073349633","11.18665018541409","13.00103842159917","10.79878665318504","8.207343412526998","6.723011909335382","5.658591975775927","4.727068092290377","7.059721427208548","10.22859356838435","11.10248447204969","9.467455621301775","6.898485698261357","5.836575875486381","6.13857746737732","7.099835736448257","6.477953184540011","5.813534917206623","5.409278165860648","5.946623679025613","6.148636606665479","5.9402460456942","6.778476589797345","13.39145597210113","19.08009793634138"
