"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04"
"IMF.STA:ER(4.0.1)","UKR.USD_XDC.PA_RT.M","OBS_VALUE","Ukraine","US Dollar per domestic currency","Period average","Monthly","Units","0.1251596724521308","0.1251807610189113","0.1252153390793818","0.1252078450227377","0.1251442757068555","0.1251172974663747","0.1251114899765053","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1155417254677765","0.1008061569174848","0.08595382182494748","0.08592834795962708","0.08468319044597471","0.08507537933835516","0.07721955248489431","0.07678532994771457","0.07722111478563496","0.06803784700492635","0.0640356263487904","0.06324020285939312","0.04084985175384549","0.04299925847778755","0.04403448728202543","0.04781198948748225","0.04709687337044818","0.04596143109740317","0.04623878188774941","0.04590647550867497","0.04578480498836805","0.04289521217411076","0.04271973264009118","0.04122063789555453","0.03788875922429313","0.03794179108519828","0.03901754203718765","0.0396723423162651","0.04007800574632835","0.04029531469049108","0.039896573718156","0.03805832195789119","0.03882398726076271","0.03890908724456233","0.03816134808778255","0.03683158228624828","0.03699898152903545","0.03703489449980709","0.03723448045444832","0.03784482358313806","0.03830117732456931","0.03850698410797512","0.03900875477384265","0.03830154539343464","0.03751644580297331","0.0374457860845213","0.03634182083112371","0.03516875724647847","0.03680387846926516","0.03796333582267784","0.03823836100289814","0.03819531053637312","0.03816477722713849","0.03787780305590843","0.03638717688232412","0.03547197739680196","0.03555254449205404","0.03579931163651613","0.03598528187577168","0.03586906714420351","0.03681793080357085","0.03722518276168792","0.0372974348804783","0.03790916158934418","0.03773569156349106","0.0388329074127104","0.03960868269221294","0.0403718665547354","0.04030924202440833","0.04103823686011263","0.04235594777106717","0.04146048436890816","0.04065615108599837","0.03786115734326517","0.03673141358240915","0.03729349334081789","0.03744288602576452","0.03661281827875328","0.03633533523347273","0.0357440094112547","0.03530456165016007","0.03532301644572532","0.03549911114840569","0.03543614864911554","0.03586201068604001","0.03597697144278603","0.03580378661348477","0.03622814520837639","0.03671089068587067","0.03674505268285183","0.03733453130386206","0.03741424650025361","0.03791515569399912","0.03781258248696705","0.03674651568160313","0.03573819073479543","0.03519433429781178","0.03418230792106621","0.03418230792106621","0.03418230792106621","0.03418230792106621","0.03139709154737894","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02738304239818319","0.02765837044625674","0.02695859169481597","0.02640719017931808","0.02633457496552982","0.02586394118041119","0.02540614905025463","0.02518254093631044","0.02470507495330747","0.02439608861024349","0.02427810617234384","0.02424397585687908","0.02424685739087894","0.02418364286449417","0.02395094290464822","0.02374791238395429","0.02399744667167413","0.02410759702705113","0.02414671544303186","0.02407897905128823","0.02405042893940013","0.02392682220696223","0.02413016777705655","0.02420235101637773","0.02402281206233439","0.02375071252137564","0.02369673861786402","0.02329194354964561","0.02318442748374772","0.02281469448842611","0.02285641145197639"
"IMF.STA:ER(4.0.1)","UKR.XDC_USD.EOP_RT.M","OBS_VALUE","Ukraine","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","7.9897","7.9867","7.9867","7.9899","7.9925","7.9925","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","9.9863","10.9546","11.401581","11.774997","11.823346","12.097248","13.605777","12.949185","12.950684","14.969269","15.768556","16.157817","27.76312","23.442625","21.046832","21.048227","21.015358","21.611775","21.185441","21.527544","22.903985","23.884656","24.000667","25.151769","27.054389","26.218056","25.186528","25.166002","24.854409","24.798204","25.652241","25.911879","25.495951","25.599374","27.190858","27.119036","27.053672","26.976058","26.551453","26.352778","26.098994","25.915589","25.579541","26.521094","26.82939","27.01393","28.067223","28.008791","26.948185","26.543493","26.230047","26.135817","26.18917","26.755214","28.279437","28.298262","28.164437","28.390932","27.688264","27.755525","26.992764","27.248765","26.619328","26.872573","26.166382","25.085516","25.232299","24.082809","24.995421","24.035575","23.6862","24.9196","24.561","28.0615","26.9714","26.9059","26.6922","27.6913","27.4759","28.2989","28.4383","28.4681","28.2746","28.1929","27.9301","27.8852","27.75","27.5004","27.1763","26.8867","26.8601","26.576","26.3265","27.1739","27.2782","28.7839","29.2549","29.2549","29.2549","29.2549","29.2549","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.3659","36.3752","37.9824","37.8746","38.2077","39.2214","39.6688","40.5001","40.5374","41.0291","41.1901","41.1664","41.279","41.5956","42.039","41.8242","41.514","41.4787","41.5647","41.5285","41.6409","41.7662","41.2602","41.3176","41.9701","42.1928","42.3878","42.8483","43.2081","43.7955","44.082"
"IMF.STA:ER(4.0.1)","UKR.XDC_USD.PA_RT.M","OBS_VALUE","Ukraine","Domestic currency per US Dollar","Period average","Monthly","Units","7.989794","7.988448","7.986242","7.98672","7.990777","7.9925","7.992871","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","7.993","8.654882","9.920029","11.634154","11.637603","11.808719","11.754282","12.950088","13.023321","12.949826","14.697702","15.616307","15.812726","24.479893","23.256215","22.709473","20.915256","21.232832","21.757373","21.6268673","21.7834192","21.8413074","23.3126251","23.4083862","24.2596925","26.3930522","26.3561622","25.6294976","25.2064774","24.9513413","24.816781","25.064809","26.2754622","25.757272","25.700937","26.204525","27.150612","27.027771","27.001562","26.856827","26.423693","26.108858","25.969315","25.635271","26.1086071","26.654977","26.7052746","27.5165079","28.4343286","27.1710494","26.3412047","26.1517485","26.1812245","26.2021705","26.4006864","27.482209","28.1912674","28.127382","27.933498","27.789139","27.879175","27.160679","26.863535","26.8114953","26.3788477","26.5001106","25.7513554","25.2469896","24.7697242","24.8082065","24.3675186","23.6094351","24.1193516","24.5965241","26.4122935","27.2246533","26.814329","26.707343","27.3128387","27.5214194","27.976716","28.3249516","28.310153","28.1697194","28.219771","27.8846607","27.7955581","27.9300067","27.6028484","27.239873","27.214548","26.7848548","26.7277867","26.3746774","26.4462233","27.2134645","27.981271","28.4136643","29.2549","29.2549","29.2549","29.2549","31.8500839","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5686","36.5189516","36.15542","37.0939258","37.8684742","37.9728931","38.6638677","39.36055","39.7100516","40.4775133","40.9901774","41.1893742","41.24736","41.2424581","41.3502633","41.75200968","42.10896452","41.6711","41.4807","41.4135","41.53","41.5793","41.7941","41.4419","41.3183","41.6271","42.104","42.1999","42.9333","43.1324","43.8314","43.7514"
"IMF.STA:ER(4.0.1)","UKR.USD_XDC.EOP_RT.M","OBS_VALUE","Ukraine","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.1251611449741542","0.125208158563612","0.125208158563612","0.1251580119901375","0.1251172974663747","0.1251172974663747","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1251094707869386","0.1001371879474881","0.09128585251857667","0.08770713465088745","0.08492571165835541","0.08457842644544108","0.0826634289054833","0.07349819124626253","0.07722493732231025","0.07721599878431132","0.06680352928389489","0.06341734779012105","0.06188954856958709","0.03601900650935486","0.04265733892855429","0.04751308890573175","0.0475099399108533","0.04758424767258307","0.04627107213544468","0.04720222722765129","0.04645211734325105","0.04366052457683674","0.04186788371580482","0.04166550871273703","0.03975863486977795","0.03696257934341079","0.03814165321791974","0.03970376544158846","0.03973614879312177","0.04023431013789143","0.04032550099192667","0.03898294889713534","0.03859233828623544","0.03922191409922305","0.03906345522355351","0.03677706676265971","0.03687446707176465","0.03696355895791152","0.03706990843510197","0.03766272226231837","0.03794666353581395","0.03831565308609213","0.03858681351984707","0.03909374292525421","0.0377058352117752","0.03727255819084966","0.03701793852282878","0.03562874745392517","0.03570307622346141","0.03710825051854142","0.03767401675431338","0.03812421685710285","0.0382616697997235","0.03818372250819709","0.03737589241483922","0.03536138290164688","0.03533785926499656","0.03550576920816844","0.03522251400552824","0.0361163849058937","0.03602886272192654","0.03704696562382422","0.03669891094146836","0.03756668838522145","0.03721266288866347","0.03821697627130874","0.03986364083561207","0.03963174342536128","0.04152339538132782","0.04000732774214925","0.04160499592791102","0.04221867585345053","0.04012905504101189","0.04071495460282562","0.03563601375550131","0.03707631046219329","0.03716656941414337","0.03746412809734679","0.0361124252021393","0.03639553208448131","0.0353370625713367","0.03516384594015817","0.03512703692905392","0.03536743225368352","0.03546992327855595","0.03580366701157533","0.03586131711445498","0.03603603603603604","0.03636310744570988","0.03679676777191891","0.03719311034823909","0.03722994329879636","0.03762793497892836","0.03798454029210111","0.03680001766400848","0.03665931036505341","0.03474164376613315","0.03418230792106621","0.03418230792106621","0.03418230792106621","0.03418230792106621","0.03418230792106621","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02734586503174855","0.02749828823155759","0.02749125778002595","0.02632798348708876","0.02640291910673644","0.02617273481523358","0.02549628519124764","0.02520872827007623","0.02469129705852578","0.02466857765914933","0.02437294505606996","0.02427767837417243","0.02429165533056085","0.02422539305700235","0.02404100433699718","0.02378743547658127","0.02390960257458601","0.02408825938237703","0.02410875943556572","0.02405887688350932","0.02407984877854967","0.02401485078372466","0.02394280542639742","0.02423643123397366","0.0242027610509807","0.0238264859983655","0.02370072619025047","0.02359169383643407","0.02333814877136316","0.02314380868401989","0.02283339612517268","0.02268499614355066"
