"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10"
"IMF.STA:MFS_IR(9.0.0)","RUS.MFS162_RT_PT_A_PT.M","OBS_VALUE","Russian Federation","Lending Rate, Percent per annum","Monthly","Units","8.8","8.9","9.2","9","8.9","9.3","9.5","9.1","8.9","9.1","9.1","9.4","8.8","9.6","10","10.2","9.9","9.5","9.2","9.3","9.5","9.2","9","9.4","9.2","9.4","10.3","10.5","10.6","10.7","10.7","10.6","10.6","10.8","12","18.3","19.9","18.1","17.9","17.2","16","15.5","14.7","14.2","13.97","13.58","13.75","13.8","13.37","13.41","13.24","13","13.1","12.7","12.44","12.2","12.1","12.07","11.72","11.83","11.61","11.48","11.41","11.02","10.72","10.68","10.44","10.41","10.03","9.82","9.67","9.43","9.14","8.81","8.77","8.66","8.75","8.82","8.75","8.72","9","8.84","8.94","9.2","9.25","9.29","9.32","9.25","9.22","9.11","8.82","8.61","8.29","8.17","7.88","7.83","7.47","7.47","7.84","7.71","7.28","6.89","6.27","6.02","6.15","6.02","5.94","6.25","6.1","6.01","6.03","6.11","6.49","6.65","7.21","7.98","7.99","8.14","8.45","9.013","9.84","11.46","18.7","15.2","13.6","11.43","10.57","9.81","9.46","9.18","9.33","8.93","9.79","9.54","9.59","9.86","9.83","9.46","9.71","12.24","13.64","14.45","15.25","16.11","16.83","16.84","17.24","17.12","17.31","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","RUS.MMRT_RT_PT_A_PT.M","OBS_VALUE","Russian Federation","Money market Rate, Percent per annum","Monthly","Units","4.8","4.4","5.1","5.3","5.8","5.8","5.6","5.3","5.5","6.1","6.1","6.2","5.4","5.7","6","6.2","6.4","6.3","6.1","6.1","6.3","6.1","6.2","6.4","6.1","6","7.9","7.9","8.2","8.2","8.2","7.9","8","8.2","10.2","15.47","17","15.1","14.9","14.4","12.8","12.5","11.5","10.9","11.15","11.14","11.43","11.07","11.02","10.84","10.94","10.73","11.1","10.6","10.38","10.3","10.2","10.32","10.02","10.2","10.11","10.14","9.9","9.58","9.13","9.11","8.95","8.54","8.37","8.04","8.01","7.73","7.09","7.15","7.15","7","6.95","7.02","7.09","7.03","7.15","7.27","7.25","7.49","7.65","7.59","7.68","7.75","7.72","7.58","7.32","7.13","6.86","6.79","6.46","6.15","6.04","5.94","5.79","5.99","5.47","4.99","4.23","4.16","4.17","4.17","4.06","4.17","4.31","4.06","4.22","4.51","4.79","5.1","5.76","6.3","6.57","6.81","7.33","7.62","8.29","9.57","19.87","17.08","13.25","9.63","8.9","7.94","7.68","7.67","7.31","7.31","7","7.11","7.35","7.16","7.25","7.33","7.83","10.33","12.28","13.08","14.79","15.18","15.68","15.79","15.55","15.7","16.01","15.73","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","RUS.MFS135_RT_PT_A_PT.M","OBS_VALUE","Russian Federation","Deposit Rate, Percent per annum","Monthly","Units","5.8","5.3","5.3","5.5","5.2","5.4","5.3","5.2","5.5","5.8","6","6.1","6.1","6.2","6.1","6.1","5.7","5.6","5.4","5.3","5.4","5.1","5","5.1","5.3","5.1","5.1","5.2","5.2","5.3","5.5","5.6","5.7","6","6.2","12.3","12.3","11.2","11.2","9","8.9","9.4","8.7","8.4","8.45","6.92","7.45","8.43","8.21","7.68","7.46","7.67","7","6.9","6.78","6.8","6","6.01","6.62","6.5","6.5","6.3","5.91","6.25","6.1","5.7","6.07","6.07","5.31","5.67","5.18","5.27","5.53","5.42","5.43","5.29","5.39","5.1","5.04","4.98","5.14","5.54","5.89","5.62","6.02","6.15","6.03","5.72","5.63","5.72","5.33","5.18","5.03","4.9","4.48","4.66","4.46","4.23","4.21","4.67","4.05","3.9","3.43","3.18","3.27","3.23","3.22","3.38","3.36","3.16","3.22","3.32","3.3","3.41","3.62","3.86","4.14","4.33","4.62","5.12","5.11","6.31","18.67","13.87","7.99","6.92","6.11","5","5.49","5.12","5.25","5.38","5.27","5.36","5.72","5.63","5.44","5.35","5.69","8.58","9.4","9.96","11.64","12.78","14.32","14.45","14.47","14.67","14.98","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","RUS.MFS166_RT_PT_A_PT.M","OBS_VALUE","Russian Federation","Monetary policy-related, Rate, Percent per annum","Monthly","Units","8","8","8","8","8","8.25","8","8","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","5.5","5.5","5.5","5.5","5.5","5.5","7","7.5","7.5","7.5","8","8","8","8","9.5","17","17","15","14","14","12.5","11.5","11.5","11","11","11","11","11","11","11","11","11","11","10.5","10.5","10.5","10","10","10","10","10","10","9.75","9.75","9.25","9","9","9","8.5","8.25","8.25","7.75","7.75","7.5","7.25","7.25","7.25","7.25","7.25","7.25","7.5","7.5","7.5","7.75","7.75","7.75","7.75","7.75","7.75","7.5","7.25","7.25","7","6.5","6.5","6.25","6.25","6","6","5.5","5.5","4.5","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.5","5","5","5.5","6.5","6.5","6.75","7.5","7.5","8.5","8.5","20","20","17","11","9.5","8","8","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","8.5","12","13","15","15","16","16","16","16","16","16","16","18","18","19","21","21","21","21","21","21","21","21","20","18","18","17","16.5"
"IMF.STA:MFS_IR(9.0.0)","RUS.S13BOND_RT_PT_A_PT.M","OBS_VALUE","Russian Federation","Government bonds, Rate, Percent per annum","Monthly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.91","7.98","7.99","8","7.9","7.87","7.93","8.09","7.7","7.56","7.6","7.73","7.84","7.88","7.95","8.81","8.73","8.7","8.91","8.84","8.29","8.57","8.62","8.5","8.18","7.56","7.63","7.48","7.47","6.81","6.76","6.52","6.53","6.84","6.97","6.42","6.03","6.44","6.47","6.66","6.74","6.75","6.54","6.62","6.93","7.3","7.38","7.39","7.43","7.26","7.03","7.3","7.64","8.11","8.22","8.43","9.27","11.76","11.18","10.41","9.43","8.81","9.06","9.32","10.96","10.45","10.5","10.63","11.05","11.33","11.24","11.37","11.36","11.55","11.38","11.56","11.9","12.55","11.77","11.84","12.03","12.56","13.68","13.75","14.85","14.93","","","","","","","","","","","","","","","",""
