"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06"
"IMF.STA:MFS_IR(9.0.0)","NLD.MFS135_RT_PT_A_PT.M","OBS_VALUE","Netherlands, The","Deposit Rate, Percent per annum","Monthly","Units","3.1591","3.0272","2.6436","2.69","2.62","2.5","2.6956","2.7955","2.8435","2.72","2.59","2.56","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","NLD.S13BOND_RT_PT_A_PT.M","OBS_VALUE","Netherlands, The","Government bonds, Rate, Percent per annum","Monthly","Units","2.197","2.236","2.25","2.29","1.96","1.93","1.75","1.76","1.84","1.77","1.65","1.56","1.738","1.827","1.669","1.663","1.691","2","2.032","2.196","2.32","2.18","2.06","2.16","2.09","1.89","1.81","1.85","1.709","1.598","1.407","1.2","1.154","1.032","0.934","0.777","0.52","0.416","0.326","0.31","0.75","1.05","0.99","0.85","0.87","0.73","0.72","0.75","0.65","0.37","0.32","0.4","0.384","0.25","0.062","0.027","0.061","0.156","0.385","0.44","0.48","0.49","0.49","0.5","0.59","0.503","0.688","0.542","0.532","0.541","0.468","0.452","0.611","0.761","0.626","0.69","0.671","0.565","0.474","0.473","0.551","0.582","0.518","0.401","0.332","0.236","0.15","0.195","0.11","-0.092"
"IMF.STA:MFS_IR(9.0.0)","NLD.MFS162_RT_PT_A_PT.M","OBS_VALUE","Netherlands, The","Lending Rate, Percent per annum","Monthly","Units","1.75","1.75","1.75","1.75","1.75","1.75","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
